id,title,condition,created_at
07ec286f-af07-47d0-aef2-58ff5bc4ceaa,Iluzjonista/tka,Mycie luster x2,2026-01-27 17:51:10.390395+00
0a65d3aa-5970-4d27-b4ba-8c5ffa927a89,Strażnik/czka Natury,5 emergency,2026-01-27 17:51:10.390395+00
0c7700d5-190a-46c6-8693-0ed8523e3246,Wartownik/czka,10 questów ≥30 min,2026-01-27 17:51:10.390395+00
197ad3e9-a927-4a8f-a839-e7f68c5029b0,Wabik,Odkurzanie sofy x2,2026-01-27 17:51:10.390395+00
218fba0c-0854-4943-b2bf-73b1ae90d8d2,Druga Szansa,Uratowanie questa po zgłoszeniu,2026-01-27 17:51:10.390395+00
34ca0369-5dd2-4da2-a896-7d9a0371fdc8,Opiekun/ka Równowagi,2 questy po innym graczu,2026-01-27 17:51:10.390395+00
3885e346-d972-4480-a484-849d49fb76fc,Światłonośca/śna,Mycie żyrandoli,2026-01-27 17:51:10.390395+00
50ac23ab-9248-4897-bf13-8b444fecdf43,Strażnik/czka Chłodu,Mycie lodówki,2026-01-27 17:51:10.390395+00
5b0c2033-34ed-4784-9231-1b2799c4905e,Cały/Cała na Biało,Emergency quest x3,2026-01-27 17:51:10.390395+00
5bf2293a-ec77-49ae-a5ef-dbce1e2e5865,Pan/Pani Kuchni,Mycie kuchni x5,2026-01-27 17:51:10.390395+00
60959be8-563a-4a47-addc-6df7aae52cd5,Strażnik/czka Porządku,Wynoszenie śmieci x10,2026-01-27 17:51:10.390395+00
693e3e8e-f603-474b-98f3-d58766622374,Pogromca/czyni Maszyn,Mycie zmywarki,2026-01-27 17:51:10.390395+00
808070b2-9504-423f-ad10-36d1c49b0175,Pogromca/czyni Błota,Mycie przedpokoju (zima) x5,2026-01-27 17:51:10.390395+00
827feb77-2bc7-4fd5-8a63-f2207ea93488,Niezłomny/a,3 miesiące z rzędu aktywności,2026-01-27 17:51:10.390395+00
86c976eb-9e33-49f7-ab8b-9dd676dd407b,Legenda Gildii,Level 10 w miesiącu,2026-01-27 17:51:10.390395+00
89792ccc-b09f-4a89-9214-fe8a046f308b,Cień Korytarzy,10 questów ≤25 min,2026-01-27 17:51:10.390395+00
8a9796fa-f0b7-43db-ab13-27d8d49d7752,Niczym Alladyn,Pranie dywaników,2026-01-27 17:51:10.390395+00
8ce226c4-25e7-479b-9e28-66b216281f70,Czempion/ka Domostwa,Gracz miesiąca,2026-01-27 17:51:10.390395+00
916b847a-7bb5-41a7-a004-21f655c913d4,Koci/a Zaklinacz/ka,Czesanie kota x10,2026-01-27 17:51:10.390395+00
953cf547-fa6d-44b8-b02e-a5f355dc98f8,Z Piekarodem,Mycie piekarnika,2026-01-27 17:51:10.390395+00
a67cfb2b-ef2f-4ae3-afc1-408739c39de2,Weteran/ka Domostwa,Wspólny epic quest,2026-01-27 17:51:10.390395+00
aafae83c-49cc-4615-b240-4322f76f6303,Nieustraszony/a,Sprzątnięcie tarasu,2026-01-27 17:51:10.390395+00
af7eb9b5-2343-451f-adaf-79c97593548f,Ostatnia Linia Obrony,Emergency quest x10,2026-01-27 17:51:10.390395+00
b3195e6a-f1fb-409a-90ea-f3346c7bdcd5,Śliski/a jak gad,Mycie podłóg x3,2026-01-27 17:51:10.390395+00
bc847958-7357-45df-9f5a-c057dbd78da7,Władca/czyni Odpływów,Mycie łazienek (łącznie) x5,2026-01-27 17:51:10.390395+00
bf6b819f-39f8-407c-b9ed-d9e0b663272b,Obserwator/ka,Szybkie ogólne ogarnięcie x5,2026-01-27 17:51:10.390395+00
c65a7654-7971-4cc5-96d0-b971afe2520a,Wyniesiony/na,Umycie schodów,2026-01-27 17:51:10.390395+00
d4ffbb49-c3c4-4291-855f-b9eb59f4f508,Bohater/ka Gildii,Emergency quest x1 (epicki),2026-01-27 17:51:10.390395+00
de4d60fa-7eea-4419-b3c0-bd106b1e41e1,Zaklinacz/ka Kurzu,Odkurzanie x10,2026-01-27 17:51:10.390395+00
e59f47c2-24e7-4bd0-996a-bf1e4c4f62b1,Wszechwiedzący/a,Sprawdzenie dat ważności x2,2026-01-27 17:51:10.390395+00
ea311a03-a648-43fa-b168-e8c7c0a9321c,Tkacz/ka Komfortu,Pranie koców,2026-01-27 17:51:10.390395+00
ed11e745-0eac-4dee-b713-d88bd1359100,Towarzysz/ka Broni,5 questów grupowych,2026-01-27 17:51:10.390395+00
f440b189-8065-42c9-8996-2a061f4e0cd8,Pan/Pani Widoków,Mycie okien x3,2026-01-27 17:51:10.390395+00
fa0e3f6a-a227-4e72-8ec5-c75e02e76765,Latający/a na Miotle,Wycieranie kurzy x10,2026-01-27 17:51:10.390395+00
fb3dc8f3-35e4-4f90-8d7d-ec77779307e7,Filary Gildii,10 questów grupowych,2026-01-27 17:51:10.390395+00
fbc4d317-1e21-4952-937a-c2dfe23b9779,Ulubieniec/ica Bestii,Czesanie kota x25,2026-01-27 17:51:10.390395+00